UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType,Watch Hour,Time per Session,Engagement Efficiency,Videos per Session,Video Consumption Ratio,Time of Day,Time per Session_log,Engagement Efficiency_log,Videos per Session_log,Video Consumption Ratio_log
57,0.8163900089643223,Male,Indonesia,0.37117097096363305,1,0,Labor/Worker,Rural,Youtube,0.7340427000023612,6,Jokes/Memes,28,4062,4,20,39,13,5,5,Entertainment,Smartphone,Android,17:00:00,7,3,At School,Mobile Data,17,0.18658142867705527,-0.45389017044413543,0.24796369528219542,-0.3318574735868715,Evening,0.17107642384942173,-0.6049351704330715,0.22151317920535063,-0.40325376531021156
58,-0.7401916315160448,Male,United States,1.1457762315040807,1,1,Waiting Staff,Rural,Facebook,0.6387031929072076,5,Entertainment,26,1613,1,15,26,25,5,5,Habit,Smartphone,Android,17:00:00,7,3,At Home,Mobile Data,17,0.32485414229130083,-0.5686090700989236,0.06439043810712387,-0.41244918366197364,Evening,0.2813023720892113,-0.8407405700485772,0.062402276716826056,-0.5317925408098644
59,-0.5178228257331352,Male,Vietnam,1.598770884332518,1,0,Waiting Staff,Rural,Facebook,0.8770519606450915,3,Vlogs,15,6578,5,7,8,8,3,7,Entertainment,Tablet,Android,21:00:00,5,5,At School,Mobile Data,21,1.1796309173611823,-0.34978087443533545,-0.29287136239513084,-0.5736326038121778,Night,0.7791555585047034,-0.43044585665004076,-0.3465426811144506,-0.8524538720280952
60,0.8905129442252921,Male,Japan,1.0918653576818447,1,0,Driver,Urban,Tiktok,1.699355209340791,12,Life Hacks,6,7851,9,26,24,74,3,7,Habit,Smartphone,Ios,21:00:00,5,5,At Home,Mobile Data,21,-0.08996399855143582,-0.3757109096010134,-0.3874821949392062,-0.35488367646547214,Night,-0.09427111822240859,-0.47114173200067405,-0.49017726749875407,-0.4383246318816919
61,1.1870046852691716,Female,Germany,0.4668954388684791,1,1,Driver,Rural,Youtube,0.6387031929072076,15,Entertainment,27,3679,4,17,8,32,5,5,Entertainment,Smartphone,Ios,17:00:00,7,3,At Home,Wi-Fi,17,-0.36223554190457746,-0.4654009759442231,-0.595061185744864,-0.37407217886430594,Evening,-0.4497862517422014,-0.6262383008386986,-0.9040192992019577,-0.4685202162299599
62,-1.4814209841257435,Other,United States,1.5992345431378694,1,1,Waiting Staff,Urban,Facebook,0.11433590388386286,10,Jokes/Memes,26,7540,9,22,19,17,5,5,Procrastination,Smartphone,Android,17:00:00,7,3,Commuting,Wi-Fi,17,-0.3011441429804653,-0.1695814673360984,-0.401603214721904,-0.16683635295690055,Evening,-0.3583107711468914,-0.18582544906437018,-0.513501224531995,-0.18252520107632472
63,-1.6296668546476831,Male,United States,-1.558956334113781,0,1,Waiting Staff,Rural,Facebook,-1.5302705935075365,19,Entertainment,4,9488,2,22,47,79,6,4,Habit,Computer,Android,14:00:00,8,2,At School,Mobile Data,14,-0.6754860894743047,3.575424282954877,-0.32111340196052646,2.9800780404518474,Afternoon,-1.1254268761891522,1.5206994338711373,-0.38730117856834945,1.3813014272578394
64,-1.3331751136038037,Male,Vietnam,-0.7104607203204953,0,0,Students,Rural,Instagram,0.042831273562497676,16,Asmr,8,7074,4,22,48,79,6,4,Boredom,Computer,Ios,14:00:00,8,2,Commuting,Wi-Fi,14,-0.4622947055745224,-0.18179889701724125,-0.24627199711222805,-0.1476478505580668,Afternoon,-0.6204446487848565,-0.20064712542766594,-0.28272371493173537,-0.1597555166051563
65,1.3352505557911114,Male,United States,1.3253807923770657,1,0,Teacher,Rural,Facebook,-1.017820742871086,11,Life Hacks,19,3996,9,12,30,48,5,5,Entertainment,Smartphone,Android,17:00:00,7,3,At School,Mobile Data,17,-0.555063126162989,-0.02914759204899691,-0.28439875052551217,0.005860168632603854,Evening,-0.809822863424531,-0.029580822294450755,-0.3346321812975491,0.005843064633418403
66,-1.4814209841257435,Other,India,-0.7958160913056619,0,0,Teacher,Rural,Tiktok,0.8174647687106205,8,Life Hacks,27,4786,4,18,22,63,5,5,Habit,Smartphone,Macos,17:00:00,7,3,At Home,Mobile Data,17,-0.014542518398210972,-0.42639327296394386,-0.2815745465689726,-0.3779098793440727,Evening,-0.014649297306098779,-0.5558112620178389,-0.33069333189932343,-0.4746703082239321
67,0.37165239739850314,Other,India,-0.8758604614295292,0,1,Cashier,Rural,Youtube,1.4967587567635898,3,Gaming,5,5695,5,24,9,40,6,4,Boredom,Smartphone,Android,14:00:00,8,2,Commuting,Mobile Data,14,1.6153156677129776,-0.4386311845054071,-0.24627199711222805,-0.3587213769452389,Afternoon,0.961384804462094,-0.5773771643446182,-0.28272371493173537,-0.44429124715062224
