UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType,Watch Hour,Time per Session,Engagement Efficiency,Videos per Session,Video Consumption Ratio,Time of Day
15,41,Other,Vietnam,63619,1,1,Cashier,Rural,Youtube,207,18,Gaming,16,9381,9,13,5,46,6,4,Boredom,Tablet,Ios,14:00:00,8,2,At School,Wi-Fi,14,11.5,45.319,0.28,0.063,Afternoon
16,20,Female,Philippines,62821,1,1,Students,Rural,Youtube,66,12,Entertainment,5,2340,7,10,11,44,6,4,Entertainment,Smartphone,Macos,14:00:00,8,2,At School,Mobile Data,14,5.5,35.455,0.92,0.152,Afternoon
17,39,Female,Mexico,33493,0,0,Waiting Staff,Rural,Facebook,102,12,Asmr,21,9795,5,18,15,48,5,5,Habit,Smartphone,Ios,17:00:00,7,3,At Home,Wi-Fi,17,8.5,96.029,1.25,0.176,Evening
18,19,Female,Brazil,37069,0,0,Students,Rural,Facebook,28,11,Asmr,22,5289,2,9,29,52,6,4,Habit,Smartphone,Windows,14:00:00,8,2,At Home,Mobile Data,14,2.55,188.893,2.64,0.321,Afternoon
19,41,Other,Japan,27531,0,0,Labor/Worker,Rural,Facebook,202,8,Pranks,10,597,4,1,45,8,6,4,Entertainment,Smartphone,Ios,14:00:00,8,2,At Work,Mobile Data,14,25.25,2.955,5.62,0.005,Afternoon
20,61,Male,United States,57051,1,1,Labor/Worker,Urban,Instagram,246,7,Vlogs,23,8836,2,13,4,55,8,2,Habit,Smartphone,Macos,08:00:00,10,0,At Work,Mobile Data,8,35.14,35.919,0.57,0.053,Morning
21,47,Male,India,27736,0,0,Waiting Staff,Rural,Youtube,286,2,Vlogs,13,7145,3,18,49,66,5,5,Habit,Tablet,Ios,17:00:00,7,3,Commuting,Mobile Data,17,143.0,24.983,24.5,0.063,Evening
22,55,Male,Brazil,27710,0,0,Driver,Rural,Facebook,236,11,Entertainment,29,2902,3,15,36,77,5,5,Boredom,Computer,Android,17:00:00,7,3,Commuting,Mobile Data,17,21.45,12.297,3.27,0.064,Evening
23,19,Female,Indonesia,87155,1,0,Students,Rural,Instagram,242,10,Entertainment,26,6645,4,2,48,40,3,7,Boredom,Smartphone,Android,21:00:00,5,5,At Work,Mobile Data,21,24.2,27.459,4.8,0.008,Night
24,38,Female,India,33975,0,0,Waiting Staff,Urban,Facebook,49,3,Pranks,14,8955,6,11,23,85,6,4,Habit,Smartphone,Ios,14:00:00,8,2,At Home,Mobile Data,14,16.33,182.755,7.67,0.224,Afternoon
25,50,Male,Germany,82424,1,1,Waiting Staff,Rural,Tiktok,162,10,Jokes/Memes,7,7694,3,29,15,31,6,4,Boredom,Smartphone,Android,14:00:00,8,2,At Home,Mobile Data,14,16.2,47.494,1.5,0.179,Afternoon
26,29,Male,Japan,65603,1,0,Labor/Worker,Urban,Tiktok,136,18,Jokes/Memes,29,4830,1,14,46,48,5,5,Entertainment,Smartphone,Android,17:00:00,7,3,At School,Wi-Fi,17,7.56,35.515,2.56,0.103,Evening
27,39,Male,Japan,43252,0,1,Students,Rural,Youtube,246,14,Gaming,20,7546,1,22,44,61,6,4,Habit,Smartphone,Android,14:00:00,8,2,Commuting,Mobile Data,14,17.57,30.675,3.14,0.089,Afternoon
28,61,Other,Vietnam,21431,0,0,Manager,Urban,Instagram,64,18,Life Hacks,6,7368,9,15,3,52,3,7,Habit,Smartphone,Ios,21:00:00,5,5,At Home,Wi-Fi,21,3.56,115.125,0.17,0.234,Night
29,42,Female,India,94603,1,1,Labor/Worker,Rural,Tiktok,181,8,Entertainment,7,9834,9,14,32,38,6,4,Boredom,Smartphone,Macos,14:00:00,8,2,At Work,Mobile Data,14,22.62,54.331,4.0,0.077,Afternoon
30,44,Male,India,57481,1,0,Driver,Urban,Tiktok,118,10,Pranks,5,2160,5,16,10,91,6,4,Entertainment,Smartphone,Android,14:00:00,8,2,At Home,Wi-Fi,14,11.8,18.305,1.0,0.136,Afternoon
31,59,Male,United States,29557,0,1,Driver,Rural,Instagram,193,13,Pranks,21,5878,9,23,40,36,8,2,Habit,Smartphone,Ios,08:00:00,10,0,At School,Wi-Fi,8,14.85,30.456,3.08,0.119,Morning
32,45,Male,United States,94971,1,0,Students,Rural,Facebook,207,8,Jokes/Memes,18,7663,7,29,38,87,5,5,Habit,Smartphone,Android,17:00:00,7,3,At Home,Mobile Data,17,25.88,37.019,4.75,0.14,Evening
33,33,Male,India,20162,0,1,Labor/Worker,Rural,Instagram,96,4,Trends,23,3749,9,15,22,55,3,7,Boredom,Tablet,Ios,21:00:00,5,5,Commuting,Mobile Data,21,24.0,39.052,5.5,0.156,Night
34,32,Other,Mexico,54742,1,0,Waiting Staff,Rural,Facebook,210,4,Trends,12,2922,7,19,14,85,6,4,Entertainment,Smartphone,Android,14:00:00,8,2,At Work,Mobile Data,14,52.5,13.914,3.5,0.09,Afternoon
35,64,Female,Vietnam,39675,0,1,Students,Rural,Tiktok,284,5,Entertainment,6,6486,9,27,17,13,6,4,Entertainment,Tablet,Ios,14:00:00,8,2,At School,Mobile Data,14,56.8,22.838,3.4,0.095,Afternoon
36,61,Other,Mexico,93997,1,0,Students,Urban,Tiktok,220,1,Jokes/Memes,27,8112,2,9,21,37,3,7,Procrastination,Smartphone,Android,21:00:00,5,5,At Home,Wi-Fi,21,220.0,36.873,21.0,0.041,Night
37,20,Male,United States,37015,0,1,Labor/Worker,Rural,Tiktok,127,17,Entertainment,1,8771,8,5,48,47,3,7,Entertainment,Tablet,Android,21:00:00,5,5,At Home,Mobile Data,21,7.47,69.063,2.82,0.039,Night
38,54,Male,Philippines,70057,1,0,Students,Urban,Youtube,200,2,Jokes/Memes,4,3804,7,5,15,90,5,5,Boredom,Smartphone,Ios,17:00:00,7,3,At School,Wi-Fi,17,100.0,19.02,7.5,0.025,Evening
39,24,Male,Brazil,52591,1,1,Cashier,Rural,Youtube,51,8,Jokes/Memes,19,4878,6,11,15,71,3,7,Habit,Smartphone,Android,21:00:00,5,5,At Home,Mobile Data,21,6.38,95.647,1.88,0.216,Night
40,38,Male,Germany,29833,0,0,Students,Rural,Youtube,51,7,Asmr,12,2368,5,28,1,22,5,5,Boredom,Tablet,Android,17:00:00,7,3,Commuting,Mobile Data,17,7.29,46.431,0.14,0.549,Evening
41,26,Male,Pakistan,27896,0,1,Waiting Staff,Urban,Instagram,285,15,Comedy,15,8093,4,20,24,39,6,4,Boredom,Smartphone,Android,14:00:00,8,2,At Work,Mobile Data,14,19.0,28.396,1.6,0.07,Afternoon
42,56,Male,India,52972,1,0,Students,Urban,Tiktok,26,5,Asmr,3,3932,7,25,12,87,6,4,Habit,Smartphone,Android,14:00:00,8,2,At School,Mobile Data,14,5.2,151.231,2.4,0.962,Afternoon
43,35,Other,Indonesia,69733,1,1,Cashier,Rural,Tiktok,292,2,Life Hacks,23,5608,3,24,10,58,8,2,Entertainment,Tablet,Macos,08:00:00,10,0,At Home,Mobile Data,8,146.0,19.205,5.0,0.082,Morning
44,21,Female,Pakistan,61800,1,0,Waiting Staff,Rural,Instagram,267,7,Gaming,27,6635,8,28,46,30,3,7,Entertainment,Tablet,Windows,21:00:00,5,5,At School,Mobile Data,21,38.14,24.85,6.57,0.105,Night
45,42,Other,Philippines,25347,0,1,Labor/Worker,Urban,Youtube,72,8,Gaming,28,6395,2,4,42,18,6,4,Boredom,Smartphone,Ios,14:00:00,8,2,Commuting,Mobile Data,14,9.0,88.819,5.25,0.056,Afternoon
46,31,Female,Pakistan,79063,1,0,Waiting Staff,Rural,Instagram,71,7,Comedy,26,6101,1,20,42,18,6,4,Procrastination,Smartphone,Windows,14:00:00,8,2,At Home,Mobile Data,14,10.14,85.93,6.0,0.282,Afternoon
47,26,Male,Vietnam,22643,0,1,Labor/Worker,Rural,Youtube,109,7,Trends,20,9292,2,18,31,74,5,5,Procrastination,Smartphone,Macos,17:00:00,7,3,At School,Mobile Data,17,15.57,85.248,4.43,0.165,Evening
48,43,Male,Japan,60785,1,1,Students,Rural,Tiktok,28,14,Pranks,28,9862,9,25,11,39,3,7,Entertainment,Tablet,Android,21:00:00,5,5,At Work,Mobile Data,21,2.0,352.214,0.79,0.893,Night
49,19,Female,India,38681,0,1,Students,Rural,Facebook,26,18,Trends,8,5531,5,3,16,94,6,4,Boredom,Tablet,Android,14:00:00,8,2,At School,Wi-Fi,14,1.44,212.731,0.89,0.115,Afternoon
50,37,Male,United States,70026,1,1,Students,Urban,Youtube,255,6,Life Hacks,11,4970,8,4,9,26,5,5,Procrastination,Smartphone,Ios,17:00:00,7,3,At Home,Mobile Data,17,42.5,19.49,1.5,0.016,Evening
51,45,Female,United States,35892,0,0,Waiting Staff,Rural,Tiktok,260,4,Entertainment,16,6344,3,14,47,71,5,5,Entertainment,Tablet,Windows,17:00:00,7,3,At Home,Wi-Fi,17,65.0,24.4,11.75,0.054,Evening
52,64,Other,Mexico,67299,1,1,Driver,Rural,Tiktok,90,10,Entertainment,9,8408,7,7,14,7,6,4,Entertainment,Tablet,Ios,14:00:00,8,2,At Home,Mobile Data,14,9.0,93.422,1.4,0.078,Afternoon
53,24,Male,Germany,37073,0,0,Students,Rural,Facebook,48,18,Pranks,3,375,2,26,19,69,6,4,Boredom,Tablet,Macos,14:00:00,8,2,Commuting,Mobile Data,14,2.67,7.812,1.06,0.542,Afternoon
54,61,Male,Vietnam,50682,1,0,Driver,Rural,Tiktok,45,12,Trends,5,7887,8,8,31,65,5,5,Procrastination,Computer,Android,17:00:00,7,3,At Work,Mobile Data,17,3.75,175.267,2.58,0.178,Evening
55,25,Other,India,34289,0,0,Cashier,Rural,Tiktok,206,16,Life Hacks,20,1609,7,24,9,46,6,4,Habit,Smartphone,Ios,14:00:00,8,2,At Home,Mobile Data,14,12.88,7.811,0.56,0.117,Afternoon
56,64,Male,Japan,27927,0,0,Manager,Rural,Youtube,167,7,Life Hacks,14,2939,5,16,36,18,3,7,Boredom,Smartphone,Android,21:00:00,5,5,At Home,Wi-Fi,21,23.86,17.599,5.14,0.096,Night
57,52,Male,Indonesia,68330,1,0,Labor/Worker,Rural,Youtube,213,6,Jokes/Memes,28,4062,4,20,39,13,5,5,Entertainment,Smartphone,Android,17:00:00,7,3,At School,Mobile Data,17,35.5,19.07,6.5,0.094,Evening
58,31,Male,United States,86707,1,1,Waiting Staff,Rural,Facebook,205,5,Entertainment,26,1613,1,15,26,25,5,5,Habit,Smartphone,Android,17:00:00,7,3,At Home,Mobile Data,17,41.0,7.868,5.2,0.073,Evening
59,34,Male,Vietnam,97454,1,0,Waiting Staff,Rural,Facebook,225,3,Vlogs,15,6578,5,7,8,8,3,7,Entertainment,Tablet,Android,21:00:00,5,5,At School,Mobile Data,21,75.0,29.236,2.67,0.031,Night
60,53,Male,Japan,85428,1,0,Driver,Urban,Tiktok,294,12,Life Hacks,6,7851,9,26,24,74,3,7,Habit,Smartphone,Ios,21:00:00,5,5,At Home,Mobile Data,21,24.5,26.704,2.0,0.088,Night
61,57,Female,Germany,70601,1,1,Driver,Rural,Youtube,205,15,Entertainment,27,3679,4,17,8,32,5,5,Entertainment,Smartphone,Ios,17:00:00,7,3,At Home,Wi-Fi,17,13.67,17.946,0.53,0.083,Evening
62,21,Other,United States,97465,1,1,Waiting Staff,Urban,Facebook,161,10,Jokes/Memes,26,7540,9,22,19,17,5,5,Procrastination,Smartphone,Android,17:00:00,7,3,Commuting,Wi-Fi,17,16.1,46.832,1.9,0.137,Evening
63,19,Male,United States,22539,0,1,Waiting Staff,Rural,Facebook,23,19,Entertainment,4,9488,2,22,47,79,6,4,Habit,Computer,Android,14:00:00,8,2,At School,Mobile Data,14,1.21,412.522,2.47,0.957,Afternoon
64,23,Male,Vietnam,42669,0,0,Students,Rural,Instagram,155,16,Asmr,8,7074,4,22,48,79,6,4,Boredom,Computer,Ios,14:00:00,8,2,Commuting,Wi-Fi,14,9.69,45.639,3.0,0.142,Afternoon
65,59,Male,United States,90968,1,0,Teacher,Rural,Facebook,66,11,Life Hacks,19,3996,9,12,30,48,5,5,Entertainment,Smartphone,Android,17:00:00,7,3,At School,Mobile Data,17,6.0,60.545,2.73,0.182,Evening
66,21,Other,India,40644,0,0,Teacher,Rural,Tiktok,220,8,Life Hacks,27,4786,4,18,22,63,5,5,Habit,Smartphone,Macos,17:00:00,7,3,At Home,Mobile Data,17,27.5,21.755,2.75,0.082,Evening
67,46,Other,India,38745,0,1,Cashier,Rural,Youtube,277,3,Gaming,5,5695,5,24,9,40,6,4,Boredom,Smartphone,Android,14:00:00,8,2,Commuting,Mobile Data,14,92.33,20.56,3.0,0.087,Afternoon
68,35,Male,Mexico,48228,0,0,Students,Rural,Facebook,219,7,Trends,13,9347,8,14,44,84,6,4,Boredom,Smartphone,Macos,14:00:00,8,2,At Home,Mobile Data,14,31.29,42.68,6.29,0.064,Afternoon
69,43,Male,Vietnam,54521,1,0,Artist,Rural,Instagram,26,7,Life Hacks,16,6998,1,15,48,15,3,7,Habit,Smartphone,Macos,21:00:00,5,5,At Home,Wi-Fi,21,3.71,269.154,6.86,0.577,Night
70,61,Female,Mexico,46928,0,0,Students,Rural,Youtube,295,14,Gaming,1,2366,1,15,4,99,6,4,Habit,Computer,Android,14:00:00,8,2,At Home,Mobile Data,14,21.07,8.02,0.29,0.051,Afternoon
71,51,Female,Vietnam,38322,0,0,Students,Rural,Facebook,212,2,Pranks,13,6764,9,5,37,6,5,5,Entertainment,Tablet,Ios,17:00:00,7,3,At School,Mobile Data,17,106.0,31.906,18.5,0.024,Evening
72,27,Male,Indonesia,77714,1,1,Labor/Worker,Urban,Instagram,108,10,Life Hacks,22,8976,9,16,8,94,3,7,Boredom,Smartphone,Windows,21:00:00,5,5,At Home,Wi-Fi,21,10.8,83.111,0.8,0.148,Night
73,53,Male,Vietnam,82292,1,0,Engineer,Rural,Facebook,288,19,Comedy,11,9273,4,5,1,63,6,4,Entertainment,Computer,Windows,14:00:00,8,2,At School,Mobile Data,14,15.16,32.198,0.05,0.017,Afternoon
74,31,Female,Germany,49055,0,1,Waiting Staff,Urban,Youtube,218,9,Jokes/Memes,21,1614,2,2,28,8,3,7,Boredom,Smartphone,Android,21:00:00,5,5,At Home,Mobile Data,21,24.22,7.404,3.11,0.009,Night
75,48,Other,Philippines,62891,1,0,Driver,Rural,Youtube,138,16,Jokes/Memes,8,4555,9,20,6,95,3,7,Procrastination,Computer,Macos,21:00:00,5,5,At School,Mobile Data,21,8.62,33.007,0.38,0.145,Night
76,32,Male,United States,26588,0,1,Labor/Worker,Rural,Youtube,297,19,Jokes/Memes,25,2416,4,28,47,32,3,7,Habit,Smartphone,Android,21:00:00,5,5,At Home,Mobile Data,21,15.63,8.135,2.47,0.094,Night
77,25,Female,India,26304,0,0,Driver,Rural,Tiktok,261,18,Pranks,8,7288,6,25,36,45,3,7,Procrastination,Smartphone,Android,21:00:00,5,5,Commuting,Wi-Fi,21,14.5,27.923,2.0,0.096,Night
78,31,Male,India,27345,0,1,Labor/Worker,Rural,Facebook,274,9,Life Hacks,24,6862,1,9,11,52,5,5,Procrastination,Tablet,Android,17:00:00,7,3,Commuting,Mobile Data,17,30.44,25.044,1.22,0.033,Evening
79,40,Other,Japan,49300,0,0,Labor/Worker,Rural,Tiktok,280,16,Vlogs,28,3653,9,22,5,79,6,4,Boredom,Smartphone,Ios,14:00:00,8,2,At School,Wi-Fi,14,17.5,13.046,0.31,0.079,Afternoon
80,57,Male,United States,44259,0,1,Driver,Rural,Youtube,197,13,Jokes/Memes,14,6639,5,27,24,82,3,7,Habit,Tablet,Windows,21:00:00,5,5,At School,Mobile Data,21,15.15,33.701,1.85,0.137,Night
81,38,Male,United States,35352,0,0,Driver,Rural,Instagram,223,10,Gaming,13,496,3,9,47,13,6,4,Habit,Smartphone,Android,14:00:00,8,2,At Home,Mobile Data,14,22.3,2.224,4.7,0.04,Afternoon
82,33,Male,Pakistan,53365,1,1,Labor/Worker,Urban,Facebook,292,14,Jokes/Memes,3,504,4,4,18,24,5,5,Entertainment,Smartphone,Android,17:00:00,7,3,At School,Mobile Data,17,20.86,1.726,1.29,0.014,Evening
83,62,Male,Philippines,39446,0,0,Students,Rural,Tiktok,220,12,Pranks,4,7699,1,15,20,40,6,4,Entertainment,Smartphone,Macos,14:00:00,8,2,Commuting,Mobile Data,14,18.33,34.995,1.67,0.068,Afternoon
84,35,Male,India,22336,0,1,Waiting Staff,Urban,Facebook,85,19,Entertainment,27,5733,9,11,28,14,5,5,Boredom,Smartphone,Android,17:00:00,7,3,At Work,Mobile Data,17,4.47,67.447,1.47,0.129,Evening
85,64,Male,Brazil,82032,1,0,Labor/Worker,Urban,Instagram,157,7,Jokes/Memes,20,8055,8,1,13,92,3,7,Boredom,Tablet,Ios,21:00:00,5,5,At Home,Wi-Fi,21,22.43,51.306,1.86,0.006,Night
86,41,Other,India,95415,1,1,Waiting Staff,Rural,Tiktok,222,15,Life Hacks,15,3216,4,18,5,75,3,7,Entertainment,Smartphone,Ios,21:00:00,5,5,At Home,Wi-Fi,21,14.8,14.486,0.33,0.081,Night
87,43,Female,Indonesia,27521,0,0,Engineer,Rural,Youtube,118,16,Trends,15,5688,2,29,30,70,3,7,Habit,Computer,Ios,21:00:00,5,5,At Home,Wi-Fi,21,7.38,48.203,1.88,0.246,Night
88,42,Other,United States,91707,1,1,Manager,Rural,Tiktok,138,8,Life Hacks,27,9600,9,1,1,62,3,7,Entertainment,Computer,Macos,21:00:00,5,5,At Home,Mobile Data,21,17.25,69.565,0.12,0.007,Night
89,62,Female,United States,43481,0,0,Students,Rural,Facebook,19,10,Jokes/Memes,21,4364,4,8,22,89,3,7,Boredom,Smartphone,Macos,21:00:00,5,5,At Work,Mobile Data,21,1.9,229.684,2.2,0.421,Night
90,58,Female,Germany,38474,0,1,Waiting Staff,Rural,Facebook,56,4,Jokes/Memes,13,6042,9,25,18,61,3,7,Entertainment,Smartphone,Android,21:00:00,5,5,At School,Wi-Fi,21,14.0,107.893,4.5,0.446,Night
91,46,Male,United States,66760,1,0,Waiting Staff,Rural,Facebook,105,19,Jokes/Memes,9,1477,3,16,46,1,5,5,Boredom,Tablet,Android,17:00:00,7,3,At School,Mobile Data,17,5.53,14.067,2.42,0.152,Evening
92,32,Male,India,75718,1,1,Students,Rural,Facebook,112,19,Jokes/Memes,28,4960,7,26,5,89,3,7,Boredom,Smartphone,Ios,21:00:00,5,5,Commuting,Wi-Fi,21,5.89,44.286,0.26,0.232,Night
93,62,Female,India,64629,1,0,Students,Rural,Youtube,155,15,Trends,25,2397,7,28,31,66,3,7,Habit,Smartphone,Android,21:00:00,5,5,At School,Mobile Data,21,10.33,15.465,2.07,0.181,Night
94,18,Male,India,65232,1,1,Driver,Rural,Tiktok,36,14,Vlogs,10,8301,4,22,6,32,3,7,Boredom,Tablet,Ios,21:00:00,5,5,At Work,Wi-Fi,21,2.57,230.583,0.43,0.611,Night
95,42,Other,Vietnam,87169,1,1,Manager,Rural,Youtube,229,1,Life Hacks,29,8841,2,18,27,13,6,4,Habit,Computer,Ios,14:00:00,8,2,At Work,Wi-Fi,14,229.0,38.607,27.0,0.079,Afternoon
96,24,Other,Pakistan,70669,1,1,Students,Rural,Youtube,27,16,Jokes/Memes,12,6194,9,22,25,33,8,2,Habit,Smartphone,Android,08:00:00,10,0,At Home,Wi-Fi,8,1.69,229.407,1.56,0.815,Morning
97,26,Male,United States,98021,1,1,Students,Urban,Youtube,176,10,Asmr,14,7570,4,9,29,32,6,4,Boredom,Smartphone,Ios,14:00:00,8,2,At Home,Wi-Fi,14,17.6,43.011,2.9,0.051,Afternoon
98,41,Female,United States,89184,1,0,Waiting Staff,Urban,Facebook,91,19,Jokes/Memes,1,7730,8,12,28,56,5,5,Entertainment,Tablet,Android,17:00:00,7,3,At Work,Mobile Data,17,4.79,84.945,1.47,0.132,Evening
99,18,Male,India,67945,1,1,Engineer,Rural,Facebook,81,3,Asmr,14,1499,2,19,16,24,3,7,Entertainment,Smartphone,Android,21:00:00,5,5,At Work,Wi-Fi,21,27.0,18.506,5.33,0.235,Night
100,61,Female,Mexico,33140,0,0,Waiting Staff,Urban,Facebook,263,5,Pranks,14,7235,8,25,12,91,6,4,Boredom,Tablet,Ios,14:00:00,8,2,At Home,Wi-Fi,14,52.6,27.51,2.4,0.095,Afternoon
101,25,Male,Germany,34357,0,0,Engineer,Rural,Tiktok,171,9,Vlogs,8,595,5,18,20,4,5,5,Boredom,Tablet,Android,17:00:00,7,3,At Work,Wi-Fi,17,19.0,3.48,2.22,0.105,Evening
102,41,Male,Germany,88673,1,0,Waiting Staff,Rural,Instagram,47,18,Jokes/Memes,16,978,7,27,18,88,3,7,Boredom,Smartphone,Ios,21:00:00,5,5,Commuting,Mobile Data,21,2.61,20.809,1.0,0.574,Night
103,28,Male,India,85633,1,0,Engineer,Urban,Facebook,210,11,Jokes/Memes,14,730,7,5,34,23,3,7,Entertainment,Smartphone,Android,21:00:00,5,5,At School,Wi-Fi,21,19.09,3.476,3.09,0.024,Night
104,34,Female,Japan,96943,1,0,Engineer,Rural,Tiktok,209,16,Gaming,1,56,9,27,23,29,3,7,Habit,Tablet,Windows,21:00:00,5,5,At Work,Mobile Data,21,13.06,0.268,1.44,0.129,Night
105,25,Female,India,98258,1,1,Driver,Urban,Facebook,264,2,Gaming,16,2243,3,2,45,98,3,7,Habit,Smartphone,Android,21:00:00,5,5,At Home,Mobile Data,21,132.0,8.496,22.5,0.008,Night
106,52,Male,Philippines,32924,0,0,Labor/Worker,Rural,Facebook,188,12,Comedy,18,5879,4,7,27,21,6,4,Entertainment,Smartphone,Ios,14:00:00,8,2,At Home,Mobile Data,14,15.67,31.271,2.25,0.037,Afternoon
107,52,Female,Japan,89286,1,0,Labor/Worker,Urban,Youtube,44,6,Jokes/Memes,7,1701,4,27,49,30,3,7,Habit,Smartphone,Android,21:00:00,5,5,At Home,Mobile Data,21,7.33,38.659,8.17,0.614,Night
108,50,Male,Brazil,94071,1,1,Waiting Staff,Rural,Youtube,91,11,Pranks,15,7229,5,10,17,90,3,7,Entertainment,Smartphone,Windows,21:00:00,5,5,At Work,Wi-Fi,21,8.27,79.44,1.55,0.11,Night
109,22,Male,Mexico,77326,1,1,Artist,Rural,Youtube,229,8,Gaming,24,1286,6,15,48,20,6,4,Entertainment,Computer,Android,14:00:00,8,2,At Home,Wi-Fi,14,28.62,5.616,6.0,0.066,Afternoon
110,59,Male,Germany,50651,1,1,Labor/Worker,Rural,Tiktok,167,12,Jokes/Memes,17,8303,3,25,21,16,3,7,Procrastination,Tablet,Android,21:00:00,5,5,At Work,Mobile Data,21,13.92,49.719,1.75,0.15,Night
111,56,Female,India,90202,1,0,Waiting Staff,Rural,Instagram,13,2,Jokes/Memes,19,9393,4,7,40,67,3,7,Entertainment,Smartphone,Ios,21:00:00,5,5,At Home,Wi-Fi,21,6.5,722.538,20.0,0.538,Night
112,58,Female,Brazil,68777,1,0,Labor/Worker,Rural,Instagram,176,9,Pranks,23,947,3,28,31,49,6,4,Habit,Smartphone,Android,14:00:00,8,2,At Home,Wi-Fi,14,19.56,5.381,3.44,0.159,Afternoon
113,45,Female,Vietnam,36994,0,0,Labor/Worker,Rural,Tiktok,213,15,Jokes/Memes,13,4121,2,5,3,58,6,4,Procrastination,Smartphone,Android,14:00:00,8,2,At Work,Mobile Data,14,14.2,19.347,0.2,0.023,Afternoon
114,24,Male,Indonesia,87263,1,1,Teacher,Rural,Facebook,203,2,Jokes/Memes,9,6553,9,15,17,44,6,4,Boredom,Computer,Windows,14:00:00,8,2,At Home,Wi-Fi,14,101.5,32.281,8.5,0.074,Afternoon
115,26,Male,United States,79634,1,0,Students,Rural,Tiktok,244,1,Entertainment,24,757,1,20,26,25,3,7,Habit,Smartphone,Android,21:00:00,5,5,At School,Mobile Data,21,244.0,3.102,26.0,0.082,Night
